worm.number,date,wormStrain,pathogenStrain,pathogenDose,doseLevel,timepoint,merontsPresent,sporesPresent,numEmbryos,experiment,experimenter,description,Infection Date,Plate Number,Total Worms,Spore Lot,Lot concentration,Total ul spore,Infection Round,40X OP50 (mL),Plate Size,Spores/cm2,Temp,infection.type,Staining Date,Stain type,Slide date,Slide number,Slide Box,Imaging Date
1,190426,AB1,LUAm1,0M,Mock,72hpi,FALSE,FALSE,10,190426_AB1_LUAm1_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,7,1000,2A,176000,0,1,0.15,6,0,21,continuous,190430,DY96,190501,7,2,190502
1,190426,AB1,LUAm1,10M,Medium,72hpi,TRUE,FALSE,6,190426_AB1_LUAm1_10M_72hpi,CM,Wild isolate phenoMIP retest,190423,8,1000,2A,176000,56.81818182,1,0.15,6,0.353857042,21,continuous,190513,Sp.9 FISH + DY96,190515,8,2,190516
1,190426,AB1,LUAm1,20M,High,72hpi,TRUE,FALSE,4,190426_AB1_LUAm1_20M_72hpi,CM,Wild isolate phenoMIP retest,190423,9,1000,2A,176000,113.6363636,1,0.15,6,0.707714084,21,continuous,190513,Sp.9 FISH + DY96,190515,9,2,190516
1,190426,CB4856,ERTm5,0M,Mock,72hpi,TRUE,FALSE,19,190426_CB4856_ERTm5_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,40,1000,2,427000,0,1,0.15,6,0,21,continuous,190430,DY96,190501,40,2,190502
1,190426,CB4856,ERTm5,1.75M,Medium,72hpi,TRUE,FALSE,13,190426_CB4856_ERTm5_1.75M_72hpi,CM,Wild isolate phenoMIP retest,190423,41,1000,2,427000,4.098360656,1,0.15,6,0.061924982,21,continuous,190430,DY96,190501,41,2,190502
1,190426,CB4856,ERTm5,3.5M,High,72hpi,TRUE,FALSE,2,190426_CB4856_ERTm5_3.5M_72hpi,CM,Wild isolate phenoMIP retest,190423,42,1000,2,427000,8.196721311,1,0.15,6,0.123849965,21,continuous,190430,DY96,190501,42,2,190502
1,190426,ED3042,LUAm1,0M,Mock,72hpi,FALSE,FALSE,17,190426_ED3042_LUAm1_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,19,1000,2A,176000,0,1,0.15,6,0,21,continuous,190430,DY96,190501,19,2,190502
1,190426,ED3042,LUAm1,10M,Medium,72hpi,TRUE,FALSE,0,190426_ED3042_LUAm1_10M_72hpi,CM,Wild isolate phenoMIP retest,190423,20,1000,2A,176000,56.81818182,1,0.15,6,0.353857042,21,continuous,190513,Sp.9 FISH + DY96,190515,20,2,190516
1,190426,ED3042,LUAm1,20M,High,72hpi,TRUE,FALSE,0,190426_ED3042_LUAm1_20M_72hpi,CM,Wild isolate phenoMIP retest,190423,21,1000,2A,176000,113.6363636,1,0.15,6,0.707714084,21,continuous,190513,Sp.9 FISH + DY96,190515,21,2,190516
1,190426,JU1400,ERTm5,0M,Mock,72hpi,TRUE,FALSE,6,190426_JU1400_ERTm5_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,46,1000,2,427000,0,1,0.15,6,0,21,continuous,190529,microb FISH + DY96,190530,46,3,201026
1,190426,JU1400,ERTm5,1.75M,Medium,72hpi,TRUE,FALSE,3,190426_JU1400_ERTm5_1.75M_72hpi,CM,Wild isolate phenoMIP retest,190423,47,1000,2,427000,4.098360656,1,0.15,6,0.061924982,21,continuous,190529,microb FISH + DY96,190530,47,3,201026
1,190426,JU1400,ERTm5,3.5M,High,72hpi,TRUE,FALSE,3,190426_JU1400_ERTm5_3.5M_72hpi,CM,Wild isolate phenoMIP retest,190423,48,1000,2,427000,8.196721311,1,0.15,6,0.123849965,21,continuous,190529,microb FISH + DY96,190530,48,3,201026
1,190426,JU1400,LUAm1,0M,Mock,72hpi,FALSE,FALSE,4,190426_JU1400_LUAm1_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,25,1000,2A,176000,0,1,0.15,6,0,21,continuous,190430,DY96,190501,25,2,190502
1,190426,JU1400,LUAm1,10M,Medium,72hpi,TRUE,FALSE,0,190426_JU1400_LUAm1_10M_72hpi,CM,Wild isolate phenoMIP retest,190423,26,1000,2A,176000,56.81818182,1,0.15,6,0.353857042,21,continuous,190513,Sp.9 FISH + DY96,190515,26,2,190516
1,190426,JU1400,LUAm1,20M,High,72hpi,TRUE,FALSE,0,190426_JU1400_LUAm1_20M_72hpi,CM,Wild isolate phenoMIP retest,190423,27,1000,2A,176000,113.6363636,1,0.15,6,0.707714084,21,continuous,190513,Sp.9 FISH + DY96,190515,27,2,190516
1,190426,JU300,ERTm5,0M,Mock,72hpi,TRUE,FALSE,18,190426_JU300_ERTm5_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,43,1000,2,427000,0,1,0.15,6,0,21,continuous,190430,DY96,190501,43,2,190502
1,190426,JU300,ERTm5,1.75M,Medium,72hpi,TRUE,TRUE,8,190426_JU300_ERTm5_1.75M_72hpi,CM,Wild isolate phenoMIP retest,190423,44,1000,2,427000,4.098360656,1,0.15,6,0.061924982,21,continuous,190430,DY96,190501,44,2,190502
1,190426,JU300,ERTm5,3.5M,High,72hpi,TRUE,TRUE,6,190426_JU300_ERTm5_3.5M_72hpi,CM,Wild isolate phenoMIP retest,190423,45,1000,2,427000,8.196721311,1,0.15,6,0.123849965,21,continuous,190430,DY96,190501,45,2,190502
1,190426,JU360,ERTm2,0.5M,Medium,72hpi,TRUE,FALSE,17,190426_JU360_ERTm2_0.5M_72hpi,CM,Wild isolate phenoMIP retest,190423,59,1000,1,240000,2.083333333,1,0.15,6,0.017692852,21,continuous,190430,DY96,190501,59,2,190502
1,190426,JU360,ERTm2,0M,Mock,72hpi,TRUE,FALSE,20,190426_JU360_ERTm2_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,58,1000,1,240000,0,1,0.15,6,0,21,continuous,190430,DY96,190501,58,2,190502
1,190426,JU360,ERTm2,1.5M,High,72hpi,TRUE,TRUE,1,190426_JU360_ERTm2_1.5M_72hpi,CM,Wild isolate phenoMIP retest,190423,60,1000,1,240000,6.25,1,0.15,6,0.053078556,21,continuous,190430,DY96,190501,60,2,190502
1,190426,JU360,LUAm1,0M,Mock,72hpi,FALSE,FALSE,12,190426_JU360_LUAm1_0M_72hpi,CM,Wild isolate phenoMIP retest,190423,22,1000,2A,176000,0,1,0.15,6,0,21,continuous,190430,DY96,190501,22,2,190502
1,190426,JU360,LUAm1,10M,Medium,72hpi,TRUE,FALSE,3,190426_JU360_LUAm1_10M_72hpi,CM,Wild isolate phenoMIP retest,190423,23,1000,2A,176000,56.81818182,1,0.15,6,0.353857042,21,continuous,190513,Sp.9 FISH + DY96,190515,23,2,190516
